timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,ahe_mrta_v3,2.46
35.000,allocation_run,,,ahe_mrta_v3,0.78
40.000,allocation_run,,,ahe_mrta_v3,0.31
45.000,allocation_run,,,ahe_mrta_v3,0.35
50.000,allocation_run,,,ahe_mrta_v3,0.36
55.000,allocation_run,,,ahe_mrta_v3,0.35
60.000,allocation_run,,,ahe_mrta_v3,0.91
65.000,allocation_run,,,ahe_mrta_v3,0.52
70.000,allocation_run,,,ahe_mrta_v3,0.89
75.000,allocation_run,,,ahe_mrta_v3,0.65
76.000,robot_failure,robot_2,,ahe_mrta_v3,0.00
80.000,allocation_run,,,ahe_mrta_v3,0.98
85.000,allocation_run,,,ahe_mrta_v3,0.73
90.000,allocation_run,,,ahe_mrta_v3,0.87
95.000,allocation_run,,,ahe_mrta_v3,0.77
100.000,allocation_run,,,ahe_mrta_v3,0.74
105.000,allocation_run,,,ahe_mrta_v3,0.79
110.000,allocation_run,,,ahe_mrta_v3,0.75
115.000,allocation_run,,,ahe_mrta_v3,0.80
120.000,allocation_run,,,ahe_mrta_v3,0.98
125.000,allocation_run,,,ahe_mrta_v3,0.81
130.000,allocation_run,,,ahe_mrta_v3,0.86
135.000,allocation_run,,,ahe_mrta_v3,0.87
140.000,allocation_run,,,ahe_mrta_v3,0.65
145.000,allocation_run,,,ahe_mrta_v3,1.17
150.000,allocation_run,,,ahe_mrta_v3,0.79
155.000,allocation_run,,,ahe_mrta_v3,0.82
160.000,allocation_run,,,ahe_mrta_v3,0.99
165.000,allocation_run,,,ahe_mrta_v3,0.60
170.000,allocation_run,,,ahe_mrta_v3,0.48
175.000,allocation_run,,,ahe_mrta_v3,0.93
180.000,allocation_run,,,ahe_mrta_v3,0.78
