timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,10,1.20
35.000,ahe_mrta_v3,2,10,0.83
40.000,ahe_mrta_v3,3,10,0.25
45.000,ahe_mrta_v3,4,10,0.28
50.000,ahe_mrta_v3,5,10,0.29
55.000,ahe_mrta_v3,6,10,0.22
60.000,ahe_mrta_v3,7,10,0.24
65.000,ahe_mrta_v3,8,10,0.27
70.000,ahe_mrta_v3,9,9,0.71
75.000,ahe_mrta_v3,10,8,1.48
80.000,ahe_mrta_v3,11,8,1.52
85.000,ahe_mrta_v3,12,8,1.08
90.000,ahe_mrta_v3,13,8,1.04
95.000,ahe_mrta_v3,14,8,0.96
100.000,ahe_mrta_v3,15,8,0.86
105.000,ahe_mrta_v3,16,8,1.11
110.000,ahe_mrta_v3,17,8,1.03
115.000,ahe_mrta_v3,18,8,0.83
120.000,ahe_mrta_v3,19,8,0.95
125.000,ahe_mrta_v3,20,8,1.16
130.000,ahe_mrta_v3,21,8,0.88
135.000,ahe_mrta_v3,22,8,0.78
140.000,ahe_mrta_v3,23,8,0.95
145.001,ahe_mrta_v3,24,8,0.46
150.000,ahe_mrta_v3,25,8,1.18
155.000,ahe_mrta_v3,26,8,0.76
160.000,ahe_mrta_v3,27,8,0.72
165.000,ahe_mrta_v3,28,8,0.84
170.000,ahe_mrta_v3,29,7,1.08
