timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
30.000,robot_1,0.000,-0.000,0,0,0,,0
30.000,robot_2,0.000,-0.000,0,0,0,,0
30.000,robot_3,0.000,-0.000,0,0,0,,0
30.000,robot_4,0.000,-0.000,0,0,0,,0
30.000,robot_5,0.000,-0.000,0,0,0,,0
32.000,robot_1,0.329,0.010,0,1,0,task_012,0
32.000,robot_2,0.027,0.074,0,1,0,task_017,0
32.000,robot_3,0.286,-0.053,0,1,0,task_004,0
32.000,robot_4,0.328,0.010,0,1,0,task_006,0
32.000,robot_5,0.327,-0.004,0,1,0,task_020,0
34.000,robot_1,0.845,0.037,0,1,0,task_012,0
34.000,robot_2,0.048,0.571,0,1,0,task_017,0
34.000,robot_3,0.765,-0.259,0,1,0,task_004,0
34.000,robot_4,0.835,0.070,0,1,0,task_006,0
34.000,robot_5,0.848,-0.021,0,1,0,task_020,0
36.000,robot_1,1.343,0.170,0,1,0,task_012,0
36.000,robot_2,-0.030,1.087,0,1,0,task_017,0
36.000,robot_3,1.233,-0.488,0,1,0,task_004,0
36.000,robot_4,1.332,0.228,0,1,0,task_006,0
36.000,robot_5,1.369,-0.055,0,1,0,task_020,0
38.000,robot_1,1.841,0.286,0,1,0,task_012,0
38.000,robot_2,-0.132,1.589,0,1,0,task_017,0
38.000,robot_3,1.688,-0.725,0,1,0,task_004,0
38.000,robot_4,1.837,0.309,0,1,0,task_006,0
38.000,robot_5,1.875,-0.134,0,1,0,task_020,0
40.002,robot_1,2.486,0.391,0,1,0,task_012,0
40.002,robot_2,-0.283,2.226,0,1,0,task_017,0
40.002,robot_3,2.263,-1.037,0,1,0,task_004,0
40.002,robot_4,2.485,0.396,0,1,0,task_006,0
40.002,robot_5,2.497,-0.333,0,1,0,task_020,0
42.000,robot_1,2.794,0.564,0,1,0,task_012,0
42.000,robot_2,-0.391,2.599,0,1,0,task_017,0
42.000,robot_3,2.610,-1.213,0,1,0,task_004,0
42.000,robot_4,2.832,0.566,0,1,0,task_006,0
42.000,robot_5,2.809,-0.554,0,1,0,task_020,0
44.000,robot_1,3.025,0.960,0,1,0,task_012,0
44.000,robot_2,-0.557,3.094,0,1,0,task_017,0
44.000,robot_3,3.073,-1.453,0,1,0,task_004,0
44.000,robot_4,3.190,0.942,0,1,0,task_006,0
44.000,robot_5,3.026,-0.993,0,1,0,task_020,0
46.000,robot_1,3.104,1.474,0,1,0,task_012,0
46.000,robot_2,-0.758,3.569,0,1,0,task_017,0
46.000,robot_3,3.529,-1.705,0,1,0,task_004,0
46.000,robot_4,3.479,1.376,0,1,0,task_006,0
46.000,robot_5,3.064,-1.512,0,1,0,task_020,0
48.000,robot_1,3.146,1.994,0,1,0,task_012,0
48.000,robot_2,-0.878,3.799,0,1,0,task_017,0
48.000,robot_3,3.802,-1.870,0,1,0,,0
48.000,robot_4,3.766,1.812,0,1,0,task_006,0
48.000,robot_5,3.060,-2.034,0,1,0,task_020,0
50.000,robot_1,3.190,2.505,0,1,0,task_012,0
50.000,robot_2,-0.878,3.799,0,1,0,task_018,0
50.000,robot_3,4.127,-1.884,0,1,0,task_008,0
50.000,robot_4,4.043,2.243,0,1,0,task_006,0
50.000,robot_5,3.053,-2.546,0,1,0,task_020,0
52.000,robot_1,3.244,3.024,0,1,0,task_012,0
52.000,robot_2,-0.850,3.413,0,1,0,task_018,0
52.000,robot_3,4.649,-1.895,0,1,0,task_008,0
52.000,robot_4,4.332,2.678,0,1,0,task_006,0
52.000,robot_5,3.050,-3.068,0,1,0,task_020,0
54.000,robot_1,3.317,3.540,0,1,0,task_012,0
54.000,robot_2,-0.956,2.903,0,1,0,task_018,0
54.000,robot_3,5.170,-1.900,0,1,0,task_008,0
54.000,robot_4,4.625,3.109,0,1,0,task_006,0
54.000,robot_5,3.049,-3.590,0,1,0,task_020,0
56.000,robot_1,3.398,4.055,0,1,0,task_012,0
56.000,robot_2,-1.107,2.404,0,1,0,task_018,0
56.000,robot_3,5.692,-1.901,0,1,0,task_008,0
56.000,robot_4,4.921,3.538,0,1,0,task_006,0
56.000,robot_5,3.050,-4.111,0,1,0,task_020,0
58.000,robot_1,3.497,4.568,0,1,0,task_012,0
58.000,robot_2,-1.280,1.912,0,1,0,task_018,0
58.000,robot_3,6.214,-1.901,0,1,0,task_008,0
58.000,robot_4,5.220,3.966,0,1,0,task_006,0
58.000,robot_5,3.050,-4.633,0,1,0,task_020,0
60.000,robot_1,3.658,5.192,0,1,0,task_012,0
60.000,robot_2,-1.474,1.438,0,1,0,task_018,0
60.000,robot_3,6.859,-1.902,0,1,0,task_008,0
60.000,robot_4,5.600,4.487,0,1,0,task_006,0
60.000,robot_5,3.050,-5.278,0,1,0,task_020,0
62.000,robot_1,3.784,5.554,0,1,0,task_012,0
62.000,robot_2,-1.761,0.870,0,1,0,task_018,0
62.000,robot_3,7.248,-1.902,0,1,0,task_008,0
62.000,robot_4,5.793,4.740,0,1,0,task_006,0
62.000,robot_5,3.050,-5.800,0,1,0,task_020,0
64.000,robot_1,3.892,5.798,0,1,0,,0
64.000,robot_2,-1.866,0.697,0,1,0,task_018,0
64.000,robot_3,7.769,-1.905,0,1,0,task_008,0
64.000,robot_4,5.853,4.817,0,1,0,task_005,0
64.000,robot_5,3.050,-6.189,0,1,0,task_020,0
66.000,robot_1,3.932,5.886,0,1,0,task_002,0
66.000,robot_2,-1.801,0.694,0,1,0,task_013,0
66.000,robot_3,8.291,-1.912,0,1,0,task_008,0
66.000,robot_4,5.756,4.871,0,1,0,task_005,0
66.000,robot_5,3.048,-6.710,0,1,0,task_020,0
68.000,robot_1,4.011,6.512,0,1,0,task_002,0
68.000,robot_2,-1.422,0.520,0,1,0,task_013,0
68.000,robot_3,8.765,-1.951,0,0,0,,0
68.000,robot_4,5.150,4.948,0,1,0,task_005,0
68.000,robot_5,2.921,-7.337,0,1,0,task_020,0
70.000,robot_1,4.012,6.910,0,1,0,task_002,0
70.000,robot_2,-1.146,0.233,0,1,0,task_013,0
70.000,robot_3,8.765,-1.951,0,1,0,task_016,0
70.000,robot_4,4.752,4.946,0,1,0,task_005,0
70.000,robot_5,2.686,-7.656,0,1,0,task_020,0
72.000,robot_1,4.003,7.555,0,1,0,task_002,0
72.000,robot_2,-0.954,0.192,0,1,2,task_024,0
72.000,robot_3,8.509,-1.699,0,1,0,task_016,0
72.000,robot_4,4.107,4.929,0,1,0,task_005,0
72.000,robot_5,2.180,-8.056,0,1,0,task_020,0
74.000,robot_1,4.000,7.944,0,1,0,task_002,0
74.000,robot_2,-0.432,0.183,0,1,2,task_024,0
74.000,robot_3,8.046,-1.458,0,1,0,task_016,0
74.000,robot_4,3.718,4.910,0,1,0,task_005,0
74.000,robot_5,1.865,-8.284,0,1,0,task_020,0
76.000,robot_1,3.999,8.466,0,1,0,task_002,0
76.000,robot_2,0.222,0.175,0,1,2,task_024,0
76.000,robot_3,7.569,-1.248,0,1,0,task_016,0
76.000,robot_4,3.198,4.871,0,1,0,task_005,0
76.000,robot_5,1.338,-8.671,0,1,0,task_020,0
78.000,robot_1,4.000,8.987,0,1,0,task_002,0
78.000,robot_2,0.610,0.153,0,1,2,task_024,0
78.000,robot_3,7.083,-1.060,0,1,0,task_016,0
78.000,robot_4,2.679,4.821,0,1,0,task_005,0
78.000,robot_5,1.037,-8.917,0,1,0,task_020,0
80.000,robot_1,4.000,9.503,0,1,0,task_002,0
80.000,robot_2,1.129,0.106,0,1,2,task_024,0
80.000,robot_3,6.582,-0.915,0,1,0,task_016,0
80.000,robot_4,2.169,4.712,0,1,0,task_005,0
80.000,robot_5,0.662,-9.280,0,1,0,task_020,0
82.000,robot_1,4.000,9.768,0,1,0,task_002,0
82.000,robot_2,1.639,-0.003,0,1,2,task_024,0
82.000,robot_3,6.081,-0.769,0,1,0,task_016,0
82.000,robot_4,1.664,4.581,0,1,0,task_005,0
82.000,robot_5,0.316,-9.654,0,1,0,task_020,0
84.000,robot_1,4.031,9.733,0,1,0,task_021,0
84.000,robot_2,2.127,-0.161,0,1,2,task_024,0
84.000,robot_3,5.588,-0.630,0,1,0,task_016,0
84.000,robot_4,1.173,4.435,0,1,0,task_005,0
84.000,robot_5,0.165,-9.819,0,1,0,task_020,0
86.000,robot_1,4.169,9.346,0,1,0,task_021,0
86.000,robot_2,2.613,-0.348,0,1,2,task_024,0
86.000,robot_3,5.070,-0.575,0,1,0,task_016,0
86.000,robot_4,0.677,4.275,0,1,0,task_005,0
86.000,robot_5,0.165,-9.819,0,1,0,task_014,0
88.000,robot_1,4.204,8.826,0,1,0,task_021,0
88.000,robot_2,3.081,-0.579,0,1,2,task_024,0
