timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,ahe_mrta_v3,1.13
35.000,allocation_run,,,ahe_mrta_v3,0.86
40.000,allocation_run,,,ahe_mrta_v3,0.28
45.000,allocation_run,,,ahe_mrta_v3,0.20
50.000,allocation_run,,,ahe_mrta_v3,0.22
55.000,allocation_run,,,ahe_mrta_v3,0.28
60.000,allocation_run,,,ahe_mrta_v3,0.86
65.000,allocation_run,,,ahe_mrta_v3,0.57
70.000,allocation_run,,,ahe_mrta_v3,0.52
71.000,robot_failure,robot_2,,ahe_mrta_v3,0.00
75.000,allocation_run,,,ahe_mrta_v3,0.84
80.000,allocation_run,,,ahe_mrta_v3,1.38
85.001,allocation_run,,,ahe_mrta_v3,1.14
90.000,allocation_run,,,ahe_mrta_v3,0.63
95.000,allocation_run,,,ahe_mrta_v3,0.74
100.000,allocation_run,,,ahe_mrta_v3,0.84
105.000,allocation_run,,,ahe_mrta_v3,0.70
110.000,allocation_run,,,ahe_mrta_v3,0.59
115.000,allocation_run,,,ahe_mrta_v3,0.88
120.000,allocation_run,,,ahe_mrta_v3,0.81
125.000,allocation_run,,,ahe_mrta_v3,0.99
130.000,allocation_run,,,ahe_mrta_v3,0.67
135.000,allocation_run,,,ahe_mrta_v3,0.92
140.000,allocation_run,,,ahe_mrta_v3,1.00
145.000,allocation_run,,,ahe_mrta_v3,0.71
150.000,allocation_run,,,ahe_mrta_v3,0.69
