timestamp_s,task_id,event,robot_id,strategy,scenario,seed
29.000,task_001,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_002,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_003,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_004,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_005,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_006,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_007,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_008,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_009,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_010,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_011,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_012,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_013,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_014,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_015,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_016,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_017,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_018,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_019,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_020,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_021,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_022,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_023,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_024,activated,,ahe_mrta_v3,robot_failure,14
29.000,task_025,activated,,ahe_mrta_v3,robot_failure,14
30.000,task_013,assigned,robot_1,ahe_mrta_v3,robot_failure,14
30.000,task_010,assigned,robot_1,ahe_mrta_v3,robot_failure,14
30.000,task_008,assigned,robot_2,ahe_mrta_v3,robot_failure,14
30.000,task_001,assigned,robot_2,ahe_mrta_v3,robot_failure,14
30.000,task_007,assigned,robot_3,ahe_mrta_v3,robot_failure,14
30.000,task_014,assigned,robot_3,ahe_mrta_v3,robot_failure,14
30.000,task_025,assigned,robot_4,ahe_mrta_v3,robot_failure,14
30.000,task_021,assigned,robot_4,ahe_mrta_v3,robot_failure,14
30.000,task_020,assigned,robot_5,ahe_mrta_v3,robot_failure,14
30.000,task_003,assigned,robot_5,ahe_mrta_v3,robot_failure,14
51.659,task_008,completed,robot_2,ahe_mrta_v3,robot_failure,14
55.000,task_011,assigned,robot_2,ahe_mrta_v3,robot_failure,14
62.887,task_025,completed,robot_4,ahe_mrta_v3,robot_failure,14
65.000,task_009,assigned,robot_4,ahe_mrta_v3,robot_failure,14
65.642,task_007,completed,robot_3,ahe_mrta_v3,robot_failure,14
65.807,task_020,completed,robot_5,ahe_mrta_v3,robot_failure,14
65.839,task_001,completed,robot_2,ahe_mrta_v3,robot_failure,14
65.963,task_013,completed,robot_1,ahe_mrta_v3,robot_failure,14
70.000,task_023,assigned,robot_1,ahe_mrta_v3,robot_failure,14
70.000,task_015,assigned,robot_2,ahe_mrta_v3,robot_failure,14
70.000,task_024,assigned,robot_3,ahe_mrta_v3,robot_failure,14
70.000,task_018,assigned,robot_5,ahe_mrta_v3,robot_failure,14
77.378,task_003,completed,robot_5,ahe_mrta_v3,robot_failure,14
79.433,task_021,completed,robot_4,ahe_mrta_v3,robot_failure,14
80.000,task_011,assigned,robot_4,ahe_mrta_v3,robot_failure,14
80.000,task_015,assigned,robot_5,ahe_mrta_v3,robot_failure,14
83.243,task_014,completed,robot_3,ahe_mrta_v3,robot_failure,14
85.000,task_005,assigned,robot_3,ahe_mrta_v3,robot_failure,14
102.683,task_010,completed,robot_1,ahe_mrta_v3,robot_failure,14
105.000,task_019,assigned,robot_1,ahe_mrta_v3,robot_failure,14
113.662,task_009,completed,robot_4,ahe_mrta_v3,robot_failure,14
114.840,task_018,completed,robot_5,ahe_mrta_v3,robot_failure,14
115.000,task_006,assigned,robot_4,ahe_mrta_v3,robot_failure,14
118.156,task_011,completed,robot_2,ahe_mrta_v3,robot_failure,14
120.000,task_002,assigned,robot_4,ahe_mrta_v3,robot_failure,14
120.000,task_012,assigned,robot_5,ahe_mrta_v3,robot_failure,14
124.195,task_023,completed,robot_1,ahe_mrta_v3,robot_failure,14
125.000,task_017,assigned,robot_1,ahe_mrta_v3,robot_failure,14
128.986,task_015,completed,robot_5,ahe_mrta_v3,robot_failure,14
130.000,task_004,assigned,robot_5,ahe_mrta_v3,robot_failure,14
141.954,task_012,completed,robot_5,ahe_mrta_v3,robot_failure,14
149.357,task_004,completed,robot_5,ahe_mrta_v3,robot_failure,14
149.669,task_024,completed,robot_3,ahe_mrta_v3,robot_failure,14
150.000,task_022,assigned,robot_5,ahe_mrta_v3,robot_failure,14
154.342,task_005,completed,robot_3,ahe_mrta_v3,robot_failure,14
155.000,task_016,assigned,robot_3,ahe_mrta_v3,robot_failure,14
156.932,task_006,completed,robot_4,ahe_mrta_v3,robot_failure,14
159.752,task_019,completed,robot_1,ahe_mrta_v3,robot_failure,14
171.875,task_002,completed,robot_4,ahe_mrta_v3,robot_failure,14
184.949,task_016,completed,robot_3,ahe_mrta_v3,robot_failure,14
198.536,task_017,completed,robot_1,ahe_mrta_v3,robot_failure,14
206.580,task_022,completed,robot_5,ahe_mrta_v3,robot_failure,14
