timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,ahe_mrta_v3,1.29
35.000,allocation_run,,,ahe_mrta_v3,0.89
40.000,allocation_run,,,ahe_mrta_v3,0.29
45.000,allocation_run,,,ahe_mrta_v3,0.18
50.000,allocation_run,,,ahe_mrta_v3,0.73
55.000,allocation_run,,,ahe_mrta_v3,0.53
60.000,allocation_run,,,ahe_mrta_v3,0.87
65.000,allocation_run,,,ahe_mrta_v3,0.76
70.000,allocation_run,,,ahe_mrta_v3,0.84
75.000,allocation_run,,,ahe_mrta_v3,0.62
80.000,allocation_run,,,ahe_mrta_v3,0.79
85.000,allocation_run,,,ahe_mrta_v3,0.81
90.000,allocation_run,,,ahe_mrta_v3,0.78
95.000,allocation_run,,,ahe_mrta_v3,0.67
100.000,allocation_run,,,ahe_mrta_v3,0.68
105.000,allocation_run,,,ahe_mrta_v3,2.36
110.000,allocation_run,,,ahe_mrta_v3,1.17
115.000,allocation_run,,,ahe_mrta_v3,2.01
120.000,allocation_run,,,ahe_mrta_v3,1.10
125.000,allocation_run,,,ahe_mrta_v3,1.21
130.000,allocation_run,,,ahe_mrta_v3,0.85
135.000,allocation_run,,,ahe_mrta_v3,0.90
140.000,allocation_run,,,ahe_mrta_v3,1.06
145.000,allocation_run,,,ahe_mrta_v3,1.05
