timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
30.000,robot_1,0.000,-0.000,0,0,0,,0
30.000,robot_2,0.000,-0.000,0,0,0,,0
30.000,robot_3,0.000,-0.000,0,0,0,,0
30.000,robot_4,0.000,-0.000,0,0,0,,0
30.000,robot_5,0.000,-0.000,0,0,0,,0
32.000,robot_1,0.328,0.009,0,1,0,task_025,0
32.000,robot_2,0.193,0.209,0,1,0,task_017,0
32.000,robot_3,0.286,-0.053,0,1,0,task_006,0
32.000,robot_4,0.049,-0.184,0,1,0,task_007,0
32.000,robot_5,0.329,-0.003,0,1,0,task_015,0
34.000,robot_1,0.835,0.069,0,1,0,task_025,0
34.000,robot_2,0.387,0.545,0,1,0,task_017,0
34.000,robot_3,0.764,-0.260,0,1,0,task_006,0
34.000,robot_4,0.044,-0.572,0,1,0,task_007,0
34.000,robot_5,0.850,-0.020,0,1,0,task_015,0
36.000,robot_1,1.332,0.226,0,1,0,task_025,0
36.000,robot_2,0.619,1.012,0,1,0,task_017,0
36.000,robot_3,1.225,-0.504,0,1,0,task_006,0
36.000,robot_4,-0.040,-1.086,0,1,0,task_007,0
36.000,robot_5,1.371,-0.051,0,1,0,task_015,0
38.000,robot_1,1.837,0.311,0,1,0,task_025,0
38.000,robot_2,0.856,1.467,0,1,0,task_017,0
38.000,robot_3,1.676,-0.748,0,1,0,task_006,0
38.000,robot_4,-0.139,-1.590,0,1,0,task_007,0
38.000,robot_5,1.878,-0.120,0,1,0,task_015,0
40.000,robot_1,2.356,0.362,0,1,0,task_025,0
40.000,robot_2,1.101,1.927,0,1,0,task_017,0
40.000,robot_3,2.139,-0.989,0,1,0,task_006,0
40.000,robot_4,-0.256,-2.098,0,1,0,task_007,0
40.000,robot_5,2.508,-0.297,0,1,0,task_015,0
42.000,robot_1,2.862,0.485,0,1,0,task_025,0
42.000,robot_2,1.423,2.497,0,1,0,task_017,0
42.000,robot_3,2.724,-1.280,0,1,0,task_006,0
42.000,robot_4,-0.425,-2.730,0,1,0,task_007,0
42.000,robot_5,2.872,-0.434,0,1,0,task_015,0
44.000,robot_1,3.342,0.690,0,1,0,task_025,0
44.000,robot_2,1.617,2.834,0,1,0,task_017,0
44.000,robot_3,3.068,-1.462,0,1,0,task_006,0
44.000,robot_4,-0.552,-3.097,0,1,0,task_007,0
44.000,robot_5,3.346,-0.651,0,1,0,task_015,0
46.000,robot_1,3.814,0.912,0,1,0,task_025,0
46.000,robot_2,1.893,3.277,0,1,0,task_017,0
46.000,robot_3,3.528,-1.708,0,1,0,task_006,0
46.000,robot_4,-0.756,-3.571,0,1,0,task_007,0
46.000,robot_5,3.820,-0.869,0,1,0,task_015,0
48.000,robot_1,4.289,1.126,0,1,0,task_025,0
48.000,robot_2,2.179,3.713,0,1,0,task_017,0
48.000,robot_3,3.799,-1.868,0,1,0,,0
48.000,robot_4,-0.871,-3.790,0,1,0,task_007,0
48.000,robot_5,4.292,-1.089,0,1,0,task_015,0
50.000,robot_1,4.759,1.330,0,1,0,task_025,0
50.000,robot_2,2.574,4.223,0,1,0,task_017,0
50.000,robot_3,3.794,-1.754,0,1,0,task_020,0
50.000,robot_4,-0.651,-3.798,0,1,0,task_013,0
50.000,robot_5,4.873,-1.371,0,1,0,task_015,0
52.000,robot_1,5.235,1.543,0,1,0,task_025,0
52.000,robot_2,2.815,4.527,0,1,0,task_017,0
52.000,robot_3,3.671,-1.433,0,1,0,task_020,0
52.000,robot_4,-0.129,-3.814,0,1,0,task_013,0
52.000,robot_5,5.230,-1.526,0,1,0,task_015,0
54.000,robot_1,5.735,1.690,0,1,0,task_025,0
54.000,robot_2,3.007,5.008,0,1,0,task_017,0
54.000,robot_3,3.379,-1.001,0,1,0,task_020,0
54.000,robot_4,0.392,-3.832,0,1,0,task_013,0
54.000,robot_5,5.735,-1.649,0,1,0,task_015,0
56.000,robot_1,6.238,1.830,0,1,0,task_025,0
56.000,robot_2,3.051,5.527,0,1,0,task_017,0
56.000,robot_3,3.066,-0.584,0,1,0,task_020,0
56.000,robot_4,0.912,-3.871,0,1,0,task_013,0
56.000,robot_5,6.251,-1.730,0,1,0,task_015,0
58.000,robot_1,6.749,1.928,0,1,0,task_025,0
58.000,robot_2,3.057,6.049,0,1,0,task_017,0
58.000,robot_3,2.754,-0.166,0,1,0,task_020,0
58.000,robot_4,1.425,-3.961,0,1,0,task_013,0
58.000,robot_5,6.689,-1.859,0,1,0,task_015,0
60.000,robot_1,7.260,1.968,0,1,0,task_025,0
60.000,robot_2,3.053,6.561,0,1,0,task_017,0
60.000,robot_3,2.443,0.242,0,1,0,task_020,0
60.000,robot_4,1.914,-4.114,0,1,0,task_013,0
60.000,robot_5,6.903,-1.915,0,1,0,task_002,0
62.000,robot_1,7.781,1.999,0,1,0,task_025,0
62.000,robot_2,3.050,7.083,0,1,0,task_017,0
62.000,robot_3,2.122,0.653,0,1,0,task_020,0
62.000,robot_4,2.404,-4.293,0,1,0,task_013,0
62.000,robot_5,7.424,-1.935,0,1,0,task_002,0
64.000,robot_1,8.301,2.034,0,1,0,task_025,0
64.000,robot_2,3.045,7.581,0,1,0,task_017,0
64.000,robot_3,1.714,1.164,0,1,0,task_020,0
64.000,robot_4,2.824,-4.582,0,1,0,task_013,0
64.000,robot_5,8.078,-1.947,0,1,0,task_002,0
66.000,robot_1,8.814,2.124,0,1,0,task_025,0
66.000,robot_2,3.031,7.767,0,1,0,,0
66.000,robot_3,1.466,1.464,0,1,0,task_020,0
66.000,robot_4,3.060,-5.043,0,1,0,task_013,0
66.000,robot_5,8.465,-1.951,0,1,0,task_002,0
68.000,robot_1,9.318,2.256,0,1,0,task_025,0
68.000,robot_2,3.029,7.806,0,1,0,task_024,0
68.000,robot_3,1.195,1.782,0,1,0,task_020,0
68.000,robot_4,3.181,-5.550,0,1,0,task_013,0
68.000,robot_5,8.765,-1.969,0,0,0,,0
70.000,robot_1,9.777,2.405,0,1,0,task_025,0
70.000,robot_2,2.785,8.287,0,1,0,task_024,0
70.000,robot_3,1.157,1.824,0,0,0,,0
70.000,robot_4,3.326,-6.179,0,1,0,task_013,0
70.000,robot_5,8.778,-2.286,0,1,0,task_009,0
72.000,robot_1,9.786,2.409,0,1,0,task_001,0
72.000,robot_2,2.513,8.564,0,1,0,task_024,0
72.000,robot_3,1.637,1.862,0,1,0,task_021,0
72.000,robot_4,3.421,-6.556,0,1,0,task_013,0
72.000,robot_5,8.687,-2.664,0,1,0,task_009,0
74.000,robot_1,9.541,2.502,0,1,0,task_001,0
74.000,robot_2,2.213,8.827,0,1,0,task_024,0
74.000,robot_3,2.158,1.872,0,1,0,task_021,0
74.000,robot_4,3.569,-7.056,0,1,0,task_013,0
74.000,robot_5,8.513,-3.155,0,1,0,task_009,0
76.000,robot_1,9.021,2.540,0,1,0,task_001,0
76.000,robot_2,2.180,8.855,0,0,0,,0
76.000,robot_3,2.680,1.872,0,1,0,task_021,0
76.000,robot_4,3.755,-7.540,0,1,0,task_013,0
76.000,robot_5,8.317,-3.639,0,1,0,task_009,0
78.000,robot_1,8.500,2.550,0,1,0,task_001,0
78.000,robot_2,2.657,8.798,0,1,0,task_012,0
78.000,robot_3,3.201,1.872,0,1,0,task_021,0
78.000,robot_4,3.881,-7.797,0,1,0,,0
78.000,robot_5,8.104,-4.115,0,1,0,task_009,0
80.000,robot_1,7.855,2.551,0,1,0,task_001,0
80.000,robot_2,3.274,8.609,0,1,0,task_012,0
80.000,robot_3,3.729,1.917,0,1,0,task_021,0
80.000,robot_4,3.881,-7.797,0,1,0,task_003,0
80.000,robot_5,7.874,-4.583,0,1,0,task_009,0
82.000,robot_1,7.457,2.551,0,1,0,task_001,0
82.000,robot_2,3.654,8.489,0,1,0,task_012,0
82.000,robot_3,4.073,1.974,0,1,0,task_018,0
82.000,robot_4,3.382,-7.934,0,1,0,task_003,0
82.000,robot_5,7.622,-5.039,0,1,0,task_009,0
84.000,robot_1,6.944,2.550,0,1,0,task_001,0
84.000,robot_2,4.141,8.329,0,1,0,task_012,0
84.000,robot_3,4.462,1.989,0,1,0,task_018,0
84.000,robot_4,2.995,-7.963,0,1,0,task_003,0
84.000,robot_5,7.359,-5.479,0,1,0,task_009,0
86.000,robot_1,6.422,2.550,0,1,0,task_001,0
86.000,robot_2,4.610,8.165,0,1,0,task_012,0
86.000,robot_3,4.983,1.998,0,1,0,task_018,0
86.000,robot_4,2.475,-8.004,0,1,0,task_003,0
86.000,robot_5,7.151,-5.794,0,1,0,task_009,0
88.000,robot_1,5.901,2.549,0,1,0,task_001,0
88.000,robot_2,4.780,8.097,0,1,0,task_010,0
