timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,10,1.36
35.000,ahe_mrta_v3,2,10,0.53
40.000,ahe_mrta_v3,3,10,0.75
45.000,ahe_mrta_v3,4,10,0.75
50.000,ahe_mrta_v3,5,10,0.72
55.000,ahe_mrta_v3,6,10,0.70
60.000,ahe_mrta_v3,7,10,0.66
65.000,ahe_mrta_v3,8,10,0.51
70.000,ahe_mrta_v3,9,10,2.14
75.000,ahe_mrta_v3,10,10,2.09
80.000,ahe_mrta_v3,11,10,2.49
85.000,ahe_mrta_v3,12,10,1.87
90.000,ahe_mrta_v3,13,9,2.23
95.000,ahe_mrta_v3,14,8,1.69
100.000,ahe_mrta_v3,15,8,1.82
105.000,ahe_mrta_v3,16,5,2.06
110.000,ahe_mrta_v3,17,5,1.41
115.000,ahe_mrta_v3,18,5,1.99
120.000,ahe_mrta_v3,19,5,2.15
125.000,ahe_mrta_v3,20,5,1.21
130.000,ahe_mrta_v3,21,5,1.27
135.000,ahe_mrta_v3,22,5,1.05
140.000,ahe_mrta_v3,23,6,1.22
