task_id,x,y,priority,strategy,scenario,seed
task_001,2.000,7.000,2,ahe_mrta_v3,deadline_pressure,16
task_002,6.000,6.000,1,ahe_mrta_v3,deadline_pressure,16
task_003,-4.000,6.000,2,ahe_mrta_v3,deadline_pressure,16
task_004,-6.000,1.500,2,ahe_mrta_v3,deadline_pressure,16
task_005,-6.000,6.000,1,ahe_mrta_v3,deadline_pressure,16
task_006,0.000,7.000,1,ahe_mrta_v3,deadline_pressure,16
task_007,-2.000,7.000,2,ahe_mrta_v3,deadline_pressure,16
task_008,3.000,2.000,3,ahe_mrta_v3,deadline_pressure,16
task_009,-3.000,2.000,2,ahe_mrta_v3,deadline_pressure,16
task_010,1.000,-6.000,1,ahe_mrta_v3,deadline_pressure,16
task_011,2.000,-4.000,2,ahe_mrta_v3,deadline_pressure,16
task_012,-1.000,-6.000,2,ahe_mrta_v3,deadline_pressure,16
task_013,-5.000,-2.000,3,ahe_mrta_v3,deadline_pressure,16
task_014,-6.000,-4.000,1,ahe_mrta_v3,deadline_pressure,16
task_015,-5.000,2.000,3,ahe_mrta_v3,deadline_pressure,16
task_016,6.000,-1.500,2,ahe_mrta_v3,deadline_pressure,16
task_017,0.000,-7.000,1,ahe_mrta_v3,deadline_pressure,16
task_018,0.000,6.000,1,ahe_mrta_v3,deadline_pressure,16
task_019,-4.000,-6.000,1,ahe_mrta_v3,deadline_pressure,16
task_020,3.000,-2.000,1,ahe_mrta_v3,deadline_pressure,16
task_021,-3.000,-2.000,2,ahe_mrta_v3,deadline_pressure,16
task_022,-5.000,0.000,3,ahe_mrta_v3,deadline_pressure,16
task_023,6.000,7.000,2,ahe_mrta_v3,deadline_pressure,16
task_024,-6.000,-1.500,3,ahe_mrta_v3,deadline_pressure,16
task_025,4.000,6.000,3,ahe_mrta_v3,deadline_pressure,16
