timestamp_s,task_id,event,robot_id,strategy,scenario,seed
28.000,task_001,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_002,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_003,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_004,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_005,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_006,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_007,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_008,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_009,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_010,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_011,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_012,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_013,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_014,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_015,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_016,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_017,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_018,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_019,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_020,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_021,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_022,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_023,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_024,activated,,ahe_mrta_v3,deadline_pressure,17
28.000,task_025,activated,,ahe_mrta_v3,deadline_pressure,17
30.000,task_018,assigned,robot_1,ahe_mrta_v3,deadline_pressure,17
30.000,task_022,assigned,robot_1,ahe_mrta_v3,deadline_pressure,17
30.000,task_015,assigned,robot_2,ahe_mrta_v3,deadline_pressure,17
30.000,task_024,assigned,robot_2,ahe_mrta_v3,deadline_pressure,17
30.000,task_004,assigned,robot_3,ahe_mrta_v3,deadline_pressure,17
30.000,task_001,assigned,robot_3,ahe_mrta_v3,deadline_pressure,17
30.000,task_023,assigned,robot_4,ahe_mrta_v3,deadline_pressure,17
30.000,task_012,assigned,robot_4,ahe_mrta_v3,deadline_pressure,17
30.000,task_013,assigned,robot_5,ahe_mrta_v3,deadline_pressure,17
30.000,task_002,assigned,robot_5,ahe_mrta_v3,deadline_pressure,17
47.836,task_004,completed,robot_3,ahe_mrta_v3,deadline_pressure,17
50.000,task_025,assigned,robot_3,ahe_mrta_v3,deadline_pressure,17
53.048,task_018,completed,robot_1,ahe_mrta_v3,deadline_pressure,17
55.000,task_008,assigned,robot_1,ahe_mrta_v3,deadline_pressure,17
65.654,task_013,completed,robot_5,ahe_mrta_v3,deadline_pressure,17
65.892,task_023,completed,robot_4,ahe_mrta_v3,deadline_pressure,17
66.391,task_001,completed,robot_3,ahe_mrta_v3,deadline_pressure,17
69.954,task_015,completed,robot_2,ahe_mrta_v3,deadline_pressure,17
70.000,task_006,assigned,robot_3,ahe_mrta_v3,deadline_pressure,17
70.000,task_011,assigned,robot_4,ahe_mrta_v3,deadline_pressure,17
70.000,task_007,assigned,robot_5,ahe_mrta_v3,deadline_pressure,17
75.000,task_010,assigned,robot_2,ahe_mrta_v3,deadline_pressure,17
75.383,task_012,completed,robot_4,ahe_mrta_v3,deadline_pressure,17
77.689,task_002,completed,robot_5,ahe_mrta_v3,deadline_pressure,17
80.000,task_017,assigned,robot_4,ahe_mrta_v3,deadline_pressure,17
86.549,task_024,completed,robot_2,ahe_mrta_v3,deadline_pressure,17
88.530,task_022,completed,robot_1,ahe_mrta_v3,deadline_pressure,17
90.000,task_014,assigned,robot_1,ahe_mrta_v3,deadline_pressure,17
90.474,task_011,completed,robot_4,ahe_mrta_v3,deadline_pressure,17
96.492,task_025,completed,robot_3,ahe_mrta_v3,deadline_pressure,17
97.846,task_010,completed,robot_2,ahe_mrta_v3,deadline_pressure,17
100.000,task_016,assigned,robot_2,ahe_mrta_v3,deadline_pressure,17
107.595,task_006,completed,robot_3,ahe_mrta_v3,deadline_pressure,17
110.000,task_009,assigned,robot_2,ahe_mrta_v3,deadline_pressure,17
115.000,task_021,assigned,robot_5,ahe_mrta_v3,deadline_pressure,17
115.352,task_007,completed,robot_5,ahe_mrta_v3,deadline_pressure,17
120.000,task_020,assigned,robot_3,ahe_mrta_v3,deadline_pressure,17
120.971,task_017,completed,robot_4,ahe_mrta_v3,deadline_pressure,17
121.755,task_008,completed,robot_1,ahe_mrta_v3,deadline_pressure,17
125.000,task_005,assigned,robot_1,ahe_mrta_v3,deadline_pressure,17
127.934,task_016,completed,robot_2,ahe_mrta_v3,deadline_pressure,17
129.008,task_014,completed,robot_1,ahe_mrta_v3,deadline_pressure,17
130.000,task_019,assigned,robot_4,ahe_mrta_v3,deadline_pressure,17
140.264,task_009,completed,robot_2,ahe_mrta_v3,deadline_pressure,17
145.000,task_003,assigned,robot_2,ahe_mrta_v3,deadline_pressure,17
148.896,task_019,completed,robot_4,ahe_mrta_v3,deadline_pressure,17
159.796,task_020,completed,robot_3,ahe_mrta_v3,deadline_pressure,17
170.389,task_021,completed,robot_5,ahe_mrta_v3,deadline_pressure,17
191.929,task_005,completed,robot_1,ahe_mrta_v3,deadline_pressure,17
198.187,task_003,completed,robot_2,ahe_mrta_v3,deadline_pressure,17
