timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,7,3.17
35.000,ahe_mrta_v3,2,7,0.73
40.000,ahe_mrta_v3,3,7,0.29
45.000,ahe_mrta_v3,4,7,0.35
50.000,ahe_mrta_v3,5,7,0.59
55.000,ahe_mrta_v3,6,7,0.69
60.000,ahe_mrta_v3,7,10,0.87
65.000,ahe_mrta_v3,8,10,0.86
70.000,ahe_mrta_v3,9,10,1.08
75.000,ahe_mrta_v3,10,8,0.77
80.000,ahe_mrta_v3,11,7,0.64
85.000,ahe_mrta_v3,12,7,0.66
90.000,ahe_mrta_v3,13,6,0.60
95.000,ahe_mrta_v3,14,6,0.70
100.000,ahe_mrta_v3,15,5,0.77
105.000,ahe_mrta_v3,16,5,0.78
110.000,ahe_mrta_v3,17,5,1.44
115.000,ahe_mrta_v3,18,6,1.89
120.000,ahe_mrta_v3,19,6,1.16
125.000,ahe_mrta_v3,20,5,1.49
130.000,ahe_mrta_v3,21,5,1.57
135.000,ahe_mrta_v3,22,5,1.39
140.000,ahe_mrta_v3,23,5,1.33
145.000,ahe_mrta_v3,24,4,1.03
150.000,ahe_mrta_v3,25,4,1.01
155.000,ahe_mrta_v3,26,4,0.88
160.000,ahe_mrta_v3,27,4,0.88
165.000,ahe_mrta_v3,28,4,0.79
170.000,ahe_mrta_v3,29,4,0.58
175.000,ahe_mrta_v3,30,4,0.78
180.000,ahe_mrta_v3,31,3,0.88
