timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
30.000,robot_1,0.000,-0.000,0,0,0,,0
30.000,robot_2,0.000,-0.000,0,0,0,,0
30.000,robot_3,0.000,-0.000,0,0,0,,0
30.000,robot_4,0.000,-0.000,0,0,0,,0
30.000,robot_5,0.000,-0.000,0,0,0,,0
32.000,robot_1,0.324,-0.052,0,1,0,task_002,0
32.000,robot_2,0.329,-0.004,0,1,0,task_006,0
32.000,robot_3,0.185,0.037,0,1,0,task_008,0
32.000,robot_4,0.119,-0.084,0,1,0,task_003,0
32.000,robot_5,0.329,-0.004,0,1,0,task_004,0
34.000,robot_1,0.812,-0.237,0,1,0,task_002,0
34.000,robot_2,0.850,-0.021,0,1,0,task_006,0
34.000,robot_3,0.593,0.322,0,1,0,task_008,0
34.000,robot_4,0.424,-0.494,0,1,0,task_003,0
34.000,robot_5,0.851,-0.021,0,1,0,task_004,0
36.000,robot_1,1.295,-0.432,0,1,0,task_002,0
36.000,robot_2,1.371,-0.055,0,1,0,task_006,0
36.000,robot_3,0.963,0.690,0,1,0,task_008,0
36.000,robot_4,0.677,-0.950,0,1,0,task_003,0
36.000,robot_5,1.371,-0.054,0,1,0,task_004,0
38.000,robot_1,1.766,-0.636,0,1,0,task_002,0
38.000,robot_2,1.877,-0.133,0,1,0,task_006,0
38.000,robot_3,1.325,1.054,0,1,0,task_008,0
38.000,robot_4,0.918,-1.402,0,1,0,task_003,0
38.000,robot_5,1.877,-0.131,0,1,0,task_004,0
40.000,robot_1,2.252,-0.825,0,1,0,task_002,0
40.000,robot_2,2.376,-0.282,0,1,0,task_006,0
40.000,robot_3,1.698,1.418,0,1,0,task_008,0
40.000,robot_4,1.169,-1.859,0,1,0,task_003,0
40.000,robot_5,2.377,-0.279,0,1,0,task_004,0
42.000,robot_1,2.737,-1.016,0,1,0,task_002,0
42.000,robot_2,2.810,-0.555,0,1,0,task_006,0
42.000,robot_3,2.067,1.786,0,1,0,task_008,0
42.000,robot_4,1.427,-2.313,0,1,0,task_003,0
42.000,robot_5,2.832,-0.530,0,1,0,task_004,0
44.000,robot_1,3.227,-1.195,0,1,0,task_002,0
44.000,robot_2,3.005,-0.938,0,1,0,task_006,0
44.000,robot_3,2.435,2.156,0,1,0,task_008,0
44.000,robot_4,1.693,-2.761,0,1,0,task_003,0
44.000,robot_5,3.191,-0.906,0,1,0,task_004,0
46.000,robot_1,3.723,-1.357,0,1,0,task_002,0
46.000,robot_2,2.954,-1.339,0,1,0,task_006,0
46.000,robot_3,2.798,2.529,0,1,0,task_008,0
46.000,robot_4,1.966,-3.206,0,1,0,task_003,0
46.000,robot_5,3.496,-1.329,0,1,0,task_004,0
48.000,robot_1,4.217,-1.522,0,1,0,task_002,0
48.000,robot_2,2.635,-1.733,0,1,0,task_006,0
48.000,robot_3,3.009,3.001,0,1,0,task_008,0
48.000,robot_4,2.248,-3.644,0,1,0,task_003,0
48.000,robot_5,3.798,-1.755,0,1,0,task_004,0
50.000,robot_1,4.704,-1.682,0,1,0,task_002,0
50.000,robot_2,2.212,-2.022,0,1,0,task_006,0
50.000,robot_3,3.049,3.512,0,1,0,task_008,0
50.000,robot_4,2.539,-4.067,0,1,0,task_003,0
50.000,robot_5,4.097,-2.171,0,1,0,task_004,0
52.000,robot_1,5.200,-1.844,0,1,0,task_002,0
52.000,robot_2,1.772,-2.302,0,1,0,task_006,0
52.000,robot_3,3.054,4.033,0,1,0,task_008,0
52.000,robot_4,2.829,-4.500,0,1,0,task_003,0
52.000,robot_5,4.402,-2.594,0,1,0,task_004,0
54.000,robot_1,5.696,-2.005,0,1,0,task_002,0
54.000,robot_2,1.334,-2.585,0,1,0,task_006,0
54.000,robot_3,3.052,4.555,0,1,0,task_008,0
54.000,robot_4,2.991,-4.986,0,1,0,task_003,0
54.000,robot_5,4.711,-3.014,0,1,0,task_004,0
56.000,robot_1,6.197,-2.150,0,1,0,task_002,0
56.000,robot_2,0.904,-2.880,0,1,0,task_006,0
56.000,robot_3,3.050,5.076,0,1,0,task_008,0
56.000,robot_4,2.886,-5.434,0,1,0,task_003,0
56.000,robot_5,5.018,-3.436,0,1,0,task_004,0
58.000,robot_1,6.714,-2.210,0,1,0,task_002,0
58.000,robot_2,0.481,-3.185,0,1,0,task_006,0
58.000,robot_3,3.046,5.576,0,1,0,task_008,0
58.000,robot_4,2.536,-5.815,0,1,0,task_003,0
58.000,robot_5,5.329,-3.855,0,1,0,task_004,0
60.000,robot_1,7.359,-2.185,0,1,0,task_002,0
60.000,robot_2,0.068,-3.488,0,1,0,task_006,0
60.000,robot_3,3.032,5.764,0,1,0,,0
60.000,robot_4,2.122,-6.117,0,1,0,task_003,0
60.000,robot_5,5.635,-4.266,0,1,0,task_004,0
62.000,robot_1,7.680,-2.125,0,1,0,task_002,0
62.000,robot_2,-0.358,-3.790,0,1,0,task_006,0
62.000,robot_3,3.357,5.784,0,1,0,task_007,0
62.000,robot_4,1.694,-6.417,0,1,0,task_003,0
62.000,robot_5,5.952,-4.680,0,1,0,task_004,0
64.000,robot_1,7.948,-2.078,0,1,0,task_013,0
64.000,robot_2,-0.842,-3.977,0,1,0,task_006,0
64.000,robot_3,3.877,5.823,0,1,0,task_007,0
64.000,robot_4,1.272,-6.723,0,1,0,task_003,0
64.000,robot_5,6.268,-5.095,0,1,0,task_004,0
66.000,robot_1,8.469,-2.043,0,1,0,task_013,0
66.000,robot_2,-1.289,-3.950,0,1,0,task_006,0
66.000,robot_3,4.397,5.857,0,1,0,task_007,0
66.000,robot_4,0.875,-7.060,0,1,0,task_003,0
66.000,robot_5,6.588,-5.507,0,1,0,task_004,0
68.000,robot_1,8.989,-2.010,0,1,0,task_013,0
68.000,robot_2,-1.577,-3.725,0,1,0,task_006,0
68.000,robot_3,4.918,5.886,0,1,0,task_007,0
68.000,robot_4,0.511,-7.434,0,1,0,task_003,0
68.000,robot_5,6.830,-5.803,0,1,0,task_004,0
70.000,robot_1,9.504,-1.998,0,1,0,task_013,0
70.000,robot_2,-1.753,-3.259,0,1,0,task_006,0
70.000,robot_3,5.437,5.938,0,1,0,task_007,0
70.000,robot_4,0.215,-7.761,0,1,0,task_003,0
70.000,robot_5,6.844,-5.819,0,1,0,task_001,0
72.000,robot_1,9.768,-1.998,0,1,0,task_016,0
72.000,robot_2,-1.848,-2.621,0,1,0,task_006,0
72.000,robot_3,6.062,6.098,0,1,0,task_007,0
72.000,robot_4,0.159,-7.823,0,1,0,,0
72.000,robot_5,6.578,-6.002,0,1,0,task_001,0
74.000,robot_1,9.629,-2.074,0,1,0,task_016,0
74.000,robot_2,-1.924,-2.248,0,1,2,task_006,0
74.000,robot_3,6.442,6.177,0,1,0,task_007,0
74.000,robot_4,0.333,-7.766,0,1,0,task_014,0
74.000,robot_5,5.960,-6.213,0,1,0,task_001,0
76.000,robot_1,9.285,-2.123,0,1,0,task_016,0
76.000,robot_2,-1.928,-2.232,0,0,2,,0
76.000,robot_3,6.962,6.207,0,1,0,task_007,0
76.000,robot_4,0.697,-7.427,0,1,0,task_014,0
76.000,robot_5,5.587,-6.325,0,1,0,task_001,0
78.000,robot_1,8.767,-2.065,0,1,0,task_016,0
78.000,robot_2,-1.928,-2.232,0,0,2,,0
78.000,robot_3,7.481,6.166,0,1,0,task_007,0
78.000,robot_4,1.009,-7.008,0,1,0,task_014,0
78.000,robot_5,5.164,-6.589,0,1,0,task_001,0
80.000,robot_1,8.247,-2.039,0,1,0,task_016,0
80.000,robot_2,-1.928,-2.232,0,0,2,,0
80.000,robot_3,7.784,6.089,0,1,0,,0
80.000,robot_4,1.371,-6.634,0,1,0,task_014,0
80.000,robot_5,4.966,-7.019,0,1,0,task_001,0
82.000,robot_1,7.726,-2.063,0,1,0,task_016,0
82.000,robot_2,-1.928,-2.232,0,0,2,,0
82.000,robot_3,7.779,6.098,0,1,0,task_012,0
82.000,robot_4,1.770,-6.298,0,1,0,task_014,0
82.000,robot_5,4.936,-7.539,0,1,0,task_001,0
84.000,robot_1,7.215,-2.109,0,1,0,task_016,0
84.000,robot_2,-1.928,-2.232,0,0,2,,0
84.000,robot_3,7.498,6.330,0,1,0,task_012,0
84.000,robot_4,2.170,-5.977,0,1,0,task_014,0
84.000,robot_5,4.941,-8.051,0,1,0,task_001,0
86.000,robot_1,6.706,-2.221,0,1,0,task_016,0
86.000,robot_2,-1.928,-2.232,0,0,2,,0
86.000,robot_3,7.000,6.476,0,1,0,task_012,0
86.000,robot_4,2.583,-5.659,0,1,0,task_014,0
86.000,robot_5,4.948,-8.573,0,1,0,task_001,0
88.000,robot_1,6.193,-2.311,0,1,0,task_016,0
