timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,ahe_mrta_v3,2.74
35.000,allocation_run,,,ahe_mrta_v3,0.62
40.000,allocation_run,,,ahe_mrta_v3,0.33
45.000,allocation_run,,,ahe_mrta_v3,0.31
50.000,allocation_run,,,ahe_mrta_v3,0.55
55.001,allocation_run,,,ahe_mrta_v3,0.54
60.000,allocation_run,,,ahe_mrta_v3,1.00
65.000,allocation_run,,,ahe_mrta_v3,0.88
70.000,allocation_run,,,ahe_mrta_v3,0.80
75.000,allocation_run,,,ahe_mrta_v3,0.59
76.000,robot_failure,robot_2,,ahe_mrta_v3,0.00
80.000,allocation_run,,,ahe_mrta_v3,0.67
85.000,allocation_run,,,ahe_mrta_v3,0.85
90.000,allocation_run,,,ahe_mrta_v3,1.70
95.000,allocation_run,,,ahe_mrta_v3,2.12
100.000,allocation_run,,,ahe_mrta_v3,1.84
105.000,allocation_run,,,ahe_mrta_v3,1.96
110.000,allocation_run,,,ahe_mrta_v3,2.07
115.000,allocation_run,,,ahe_mrta_v3,2.34
120.000,allocation_run,,,ahe_mrta_v3,1.95
125.000,allocation_run,,,ahe_mrta_v3,1.55
130.000,allocation_run,,,ahe_mrta_v3,1.77
135.000,allocation_run,,,ahe_mrta_v3,1.93
140.000,allocation_run,,,ahe_mrta_v3,1.71
145.000,allocation_run,,,ahe_mrta_v3,1.37
150.000,allocation_run,,,ahe_mrta_v3,1.01
155.000,allocation_run,,,ahe_mrta_v3,0.99
160.000,allocation_run,,,ahe_mrta_v3,1.32
165.000,allocation_run,,,ahe_mrta_v3,1.13
170.000,allocation_run,,,ahe_mrta_v3,1.28
175.000,allocation_run,,,ahe_mrta_v3,1.25
180.000,allocation_run,,,ahe_mrta_v3,0.90
185.000,allocation_run,,,ahe_mrta_v3,1.13
190.000,allocation_run,,,ahe_mrta_v3,0.72
195.000,allocation_run,,,ahe_mrta_v3,0.73
200.000,allocation_run,,,ahe_mrta_v3,0.75
205.000,allocation_run,,,ahe_mrta_v3,1.09
