timestamp_s,dominant_heuristic,dominant_value,context_task_density,context_robot_avail,context_deadline,context_failure_rate,w_d,w_p,w_b,w_l,w_f,w_t,w_r,d_0,d_1,d_2,d_3,d_4
0.000,SpatialOpportunist,0.2429,0.0000,1.0000,0.0000,0.0000,0.1688,0.2064,0.0883,0.0784,0.1745,0.1613,0.1221,0.2429,0.2117,0.2051,0.1783,0.1620
4.002,SpatialOpportunist,0.2687,0.0000,1.0000,0.0000,0.0000,0.1794,0.2111,0.0876,0.0785,0.1609,0.1670,0.1156,0.2687,0.2188,0.2085,0.1654,0.1387
6.002,SpatialOpportunist,0.2841,0.0000,1.0000,0.0000,0.0000,0.1857,0.2137,0.0871,0.0784,0.1530,0.1704,0.1117,0.2841,0.2232,0.2107,0.1576,0.1244
8.003,SpatialOpportunist,0.2933,0.0000,1.0000,0.0000,0.0000,0.1896,0.2154,0.0867,0.0783,0.1484,0.1725,0.1093,0.2933,0.2258,0.2122,0.1530,0.1157
10.010,SpatialOpportunist,0.2989,0.0000,1.0000,0.0000,0.0000,0.1918,0.2163,0.0865,0.0782,0.1456,0.1737,0.1078,0.2989,0.2274,0.2132,0.1502,0.1104
12.004,SpatialOpportunist,0.3022,0.0000,1.0000,0.0000,0.0000,0.1932,0.2169,0.0863,0.0782,0.1439,0.1745,0.1069,0.3022,0.2284,0.2138,0.1485,0.1071
14.002,SpatialOpportunist,0.3042,0.0000,1.0000,0.0000,0.0000,0.1940,0.2173,0.0862,0.0781,0.1429,0.1750,0.1064,0.3042,0.2290,0.2142,0.1475,0.1051
16.003,SpatialOpportunist,0.3054,0.0000,1.0000,0.0000,0.0000,0.1945,0.2175,0.0862,0.0781,0.1423,0.1753,0.1061,0.3054,0.2294,0.2145,0.1469,0.1039
18.003,SpatialOpportunist,0.3061,0.0000,1.0000,0.0000,0.0000,0.1948,0.2177,0.0861,0.0781,0.1419,0.1755,0.1059,0.3061,0.2296,0.2146,0.1466,0.1031
20.003,SpatialOpportunist,0.3065,0.0000,1.0000,0.0000,0.0000,0.1950,0.2178,0.0861,0.0781,0.1417,0.1756,0.1057,0.3065,0.2297,0.2147,0.1464,0.1027
22.000,SpatialOpportunist,0.3068,0.0000,1.0000,0.0000,0.0000,0.1951,0.2178,0.0861,0.0781,0.1415,0.1757,0.1057,0.3068,0.2298,0.2148,0.1462,0.1024
24.002,SpatialOpportunist,0.3069,0.0000,1.0000,0.0000,0.0000,0.1951,0.2179,0.0861,0.0781,0.1415,0.1757,0.1056,0.3069,0.2298,0.2149,0.1462,0.1022
26.003,SpatialOpportunist,0.3070,0.0000,1.0000,0.0000,0.0000,0.1952,0.2179,0.0861,0.0781,0.1414,0.1758,0.1056,0.3070,0.2299,0.2149,0.1461,0.1021
28.003,SpatialOpportunist,0.3071,0.0000,1.0000,0.0000,0.0000,0.1952,0.2179,0.0861,0.0781,0.1414,0.1758,0.1056,0.3071,0.2299,0.2149,0.1461,0.1021
30.000,SpatialOpportunist,0.3071,0.0000,1.0000,0.0000,0.0000,0.1952,0.2179,0.0861,0.0781,0.1414,0.1758,0.1056,0.3071,0.2299,0.2149,0.1461,0.1020
32.002,SpatialOpportunist,0.3051,1.0000,1.0000,0.1250,0.0000,0.1955,0.2107,0.0866,0.0785,0.1459,0.1743,0.1086,0.3051,0.2146,0.2198,0.1476,0.1128
34.000,SpatialOpportunist,0.3041,1.0000,1.0000,0.1250,0.0000,0.1956,0.2071,0.0869,0.0787,0.1482,0.1734,0.1101,0.3041,0.2070,0.2221,0.1484,0.1184
36.002,SpatialOpportunist,0.3035,1.0000,1.0000,0.1250,0.0000,0.1956,0.2053,0.0871,0.0788,0.1494,0.1729,0.1109,0.3035,0.2031,0.2232,0.1489,0.1212
38.004,SpatialOpportunist,0.2957,1.0000,1.0000,0.2500,0.0000,0.1913,0.2076,0.0869,0.0787,0.1494,0.1752,0.1109,0.2957,0.2059,0.2276,0.1490,0.1218
40.003,SpatialOpportunist,0.2917,1.0000,1.0000,0.2500,0.0000,0.1891,0.2088,0.0869,0.0786,0.1494,0.1764,0.1109,0.2917,0.2072,0.2299,0.1490,0.1221
42.002,SpatialOpportunist,0.2897,1.0000,1.0000,0.2500,0.0000,0.1880,0.2094,0.0868,0.0786,0.1494,0.1770,0.1109,0.2897,0.2079,0.2310,0.1490,0.1223
44.002,SpatialOpportunist,0.2887,1.0000,1.0000,0.2500,0.0000,0.1874,0.2097,0.0868,0.0786,0.1494,0.1773,0.1109,0.2887,0.2083,0.2316,0.1491,0.1224
46.000,SpatialOpportunist,0.2881,1.0000,1.0000,0.2500,0.0000,0.1871,0.2098,0.0868,0.0786,0.1494,0.1775,0.1109,0.2881,0.2084,0.2319,0.1491,0.1224
48.002,SpatialOpportunist,0.2879,1.0000,1.0000,0.2500,0.0000,0.1870,0.2099,0.0868,0.0786,0.1494,0.1775,0.1109,0.2879,0.2085,0.2321,0.1491,0.1225
50.003,SpatialOpportunist,0.2808,1.0000,1.0000,0.3750,0.0000,0.1830,0.2129,0.0866,0.0784,0.1487,0.1800,0.1104,0.2808,0.2129,0.2357,0.1489,0.1217
52.003,SpatialOpportunist,0.2773,1.0000,1.0000,0.3750,0.0000,0.1811,0.2144,0.0864,0.0783,0.1484,0.1812,0.1102,0.2773,0.2150,0.2376,0.1489,0.1213
54.002,SpatialOpportunist,0.2756,1.0000,1.0000,0.3750,0.0000,0.1801,0.2152,0.0864,0.0782,0.1482,0.1818,0.1101,0.2756,0.2160,0.2385,0.1488,0.1211
56.002,SpatialOpportunist,0.2712,1.0000,1.0000,0.5000,0.0000,0.1774,0.2191,0.0861,0.0780,0.1465,0.1841,0.1088,0.2712,0.2225,0.2403,0.1486,0.1173
58.002,SpatialOpportunist,0.2698,1.0000,1.0000,0.4286,0.0000,0.1768,0.2187,0.0861,0.0780,0.1470,0.1842,0.1092,0.2698,0.2213,0.2414,0.1486,0.1189
60.003,SpatialOpportunist,0.2690,1.0000,1.0000,0.4286,0.0000,0.1765,0.2184,0.0861,0.0780,0.1473,0.1843,0.1094,0.2690,0.2208,0.2419,0.1486,0.1196
62.000,SpatialOpportunist,0.2823,1.0000,1.0000,0.3333,0.0000,0.1835,0.2145,0.0864,0.0783,0.1475,0.1803,0.1095,0.2823,0.2159,0.2346,0.1489,0.1183
64.002,SpatialOpportunist,0.2790,1.0000,1.0000,0.3571,0.0000,0.1819,0.2148,0.0864,0.0783,0.1479,0.1810,0.1098,0.2790,0.2158,0.2366,0.1488,0.1197
66.003,SpatialOpportunist,0.2736,1.0000,1.0000,0.4286,0.0000,0.1790,0.2165,0.0863,0.0781,0.1477,0.1827,0.1097,0.2736,0.2181,0.2395,0.1487,0.1200
68.003,SpatialOpportunist,0.2710,1.0000,1.0000,0.4286,0.0000,0.1776,0.2174,0.0862,0.0781,0.1476,0.1835,0.1096,0.2710,0.2192,0.2409,0.1487,0.1202
70.004,SpatialOpportunist,0.2754,1.0000,1.0000,0.4286,0.0000,0.1797,0.2174,0.0862,0.0781,0.1469,0.1827,0.1091,0.2754,0.2201,0.2382,0.1487,0.1177
72.003,SpatialOpportunist,0.2504,1.0000,0.8000,0.4545,0.2000,0.1707,0.2108,0.0876,0.0783,0.1638,0.1719,0.1170,0.2504,0.2106,0.2259,0.1683,0.1448
74.002,SpatialOpportunist,0.2339,1.0000,0.8000,0.4545,0.2000,0.1642,0.2078,0.0880,0.0783,0.1725,0.1680,0.1212,0.2339,0.2063,0.2233,0.1764,0.1601
76.003,SpatialOpportunist,0.2265,1.0000,0.8000,0.4545,0.2000,0.1614,0.2063,0.0882,0.0782,0.1766,0.1661,0.1232,0.2265,0.2044,0.2220,0.1800,0.1671
78.002,SpatialOpportunist,0.2232,1.0000,0.8000,0.4545,0.2000,0.1601,0.2056,0.0883,0.0782,0.1785,0.1652,0.1241,0.2232,0.2035,0.2214,0.1817,0.1704
80.003,SpatialOpportunist,0.2390,1.0000,0.8000,0.4545,0.2000,0.1664,0.2080,0.0880,0.0783,0.1710,0.1680,0.1204,0.2390,0.2069,0.2220,0.1755,0.1567
82.004,SpatialOpportunist,0.2431,1.0000,0.8000,0.4444,0.2000,0.1682,0.2082,0.0879,0.0783,0.1695,0.1683,0.1196,0.2431,0.2072,0.2217,0.1742,0.1538
84.002,SpatialOpportunist,0.2312,1.0000,0.8000,0.4444,0.2000,0.1634,0.2063,0.0882,0.0783,0.1753,0.1661,0.1225,0.2312,0.2044,0.2210,0.1791,0.1644
86.002,SpatialOpportunist,0.2378,1.0000,0.8000,0.5000,0.2000,0.1656,0.2097,0.0878,0.0782,0.1696,0.1694,0.1197,0.2378,0.2093,0.2239,0.1745,0.1545
88.003,TemporalRegulator,0.2271,1.0000,0.8000,0.6250,0.2000,0.1583,0.2109,0.0878,0.0780,0.1735,0.1699,0.1215,0.2211,0.2112,0.2271,0.1781,0.1625
90.004,TemporalRegulator,0.2286,1.0000,0.8000,0.6250,0.2000,0.1551,0.2114,0.0878,0.0779,0.1753,0.1701,0.1224,0.2135,0.2120,0.2286,0.1798,0.1661
92.002,TemporalRegulator,0.2314,1.0000,0.8000,0.7059,0.2000,0.1521,0.2133,0.0876,0.0777,0.1754,0.1715,0.1223,0.2070,0.2147,0.2314,0.1801,0.1669
94.000,TemporalRegulator,0.2326,1.0000,0.8000,0.7059,0.2000,0.1508,0.2141,0.0875,0.0776,0.1754,0.1722,0.1223,0.2040,0.2159,0.2326,0.1802,0.1673
96.003,TemporalRegulator,0.2361,1.0000,0.8000,0.7500,0.2000,0.1552,0.2190,0.0870,0.0775,0.1664,0.1771,0.1178,0.2171,0.2226,0.2361,0.1728,0.1514
98.002,TemporalRegulator,0.2375,1.0000,0.8000,0.8125,0.2000,0.1502,0.2187,0.0871,0.0774,0.1704,0.1764,0.1197,0.2045,0.2223,0.2375,0.1765,0.1592
100.004,TemporalRegulator,0.2380,1.0000,0.8000,0.8125,0.2000,0.1480,0.2186,0.0871,0.0774,0.1722,0.1761,0.1206,0.1988,0.2222,0.2380,0.1781,0.1628
102.003,TemporalRegulator,0.2383,1.0000,0.8000,0.8125,0.2000,0.1470,0.2185,0.0871,0.0773,0.1731,0.1759,0.1210,0.1963,0.2221,0.2383,0.1788,0.1644
104.003,TemporalRegulator,0.2384,1.0000,0.8000,0.8125,0.2000,0.1466,0.2185,0.0871,0.0773,0.1734,0.1758,0.1212,0.1952,0.2221,0.2384,0.1791,0.1652
106.003,TemporalRegulator,0.2399,1.0000,0.8000,0.8750,0.2000,0.1454,0.2196,0.0870,0.0772,0.1731,0.1767,0.1210,0.1925,0.2237,0.2399,0.1790,0.1649
108.003,TemporalRegulator,0.2416,1.0000,0.8000,0.8667,0.2000,0.1510,0.2232,0.0866,0.0772,0.1646,0.1806,0.1167,0.2085,0.2287,0.2416,0.1718,0.1494
110.006,TemporalRegulator,0.2427,1.0000,0.8000,0.9333,0.2000,0.1463,0.2227,0.0867,0.0771,0.1687,0.1797,0.1187,0.1964,0.2280,0.2427,0.1755,0.1574
112.000,TemporalRegulator,0.2431,1.0000,0.8000,0.9333,0.2000,0.1443,0.2225,0.0867,0.0770,0.1705,0.1793,0.1196,0.1910,0.2277,0.2431,0.1772,0.1610
114.002,TemporalRegulator,0.2464,1.0000,0.8000,1.0000,0.2000,0.1476,0.2271,0.0862,0.0769,0.1627,0.1838,0.1157,0.2018,0.2341,0.2464,0.1707,0.1470
116.002,TemporalRegulator,0.2463,1.0000,0.8000,1.0000,0.2000,0.1438,0.2255,0.0864,0.0769,0.1673,0.1821,0.1180,0.1911,0.2320,0.2463,0.1748,0.1558
118.002,TemporalRegulator,0.2472,1.0000,0.8000,1.0000,0.2000,0.1475,0.2277,0.0861,0.0769,0.1620,0.1845,0.1153,0.2018,0.2350,0.2472,0.1702,0.1459
120.004,TemporalRegulator,0.2466,1.0000,0.8000,1.0000,0.2000,0.1437,0.2258,0.0864,0.0769,0.1670,0.1824,0.1178,0.1911,0.2324,0.2466,0.1746,0.1553
122.003,TemporalRegulator,0.2463,1.0000,0.8000,1.0000,0.2000,0.1421,0.2249,0.0864,0.0769,0.1693,0.1814,0.1189,0.1864,0.2312,0.2463,0.1765,0.1596
124.003,TemporalRegulator,0.2462,1.0000,0.8000,1.0000,0.2000,0.1414,0.2245,0.0865,0.0768,0.1703,0.1809,0.1195,0.1843,0.2307,0.2462,0.1774,0.1615
126.003,TemporalRegulator,0.2461,1.0000,0.8000,1.0000,0.2000,0.1411,0.2243,0.0865,0.0768,0.1708,0.1807,0.1197,0.1833,0.2304,0.2461,0.1778,0.1624
128.003,TemporalRegulator,0.2461,1.0000,0.8000,1.0000,0.2000,0.1409,0.2243,0.0865,0.0768,0.1710,0.1806,0.1198,0.1829,0.2303,0.2461,0.1779,0.1627
130.000,TemporalRegulator,0.2460,1.0000,0.8000,1.0000,0.2000,0.1409,0.2242,0.0865,0.0768,0.1711,0.1806,0.1199,0.1827,0.2303,0.2460,0.1780,0.1629
132.003,TemporalRegulator,0.2460,1.0000,0.8000,1.0000,0.2000,0.1408,0.2242,0.0865,0.0768,0.1711,0.1806,0.1199,0.1827,0.2303,0.2460,0.1780,0.1630
134.002,TemporalRegulator,0.2460,1.0000,0.8000,1.0000,0.2000,0.1408,0.2242,0.0865,0.0768,0.1712,0.1806,0.1199,0.1826,0.2303,0.2460,0.1781,0.1630
136.003,TemporalRegulator,0.2471,1.0000,0.8000,1.0000,0.2000,0.1468,0.2275,0.0862,0.0769,0.1628,0.1841,0.1157,0.1999,0.2347,0.2471,0.1709,0.1475
138.002,TemporalRegulator,0.2474,1.0000,0.8000,1.0000,0.2000,0.1481,0.2282,0.0861,0.0769,0.1611,0.1849,0.1148,0.2036,0.2356,0.2474,0.1693,0.1441
140.000,TemporalRegulator,0.2474,1.0000,0.8000,1.0000,0.2000,0.1484,0.2283,0.0860,0.0769,0.1607,0.1851,0.1146,0.2044,0.2358,0.2474,0.1690,0.1433
142.003,TemporalRegulator,0.2468,1.0000,0.8000,1.0000,0.2000,0.1442,0.2261,0.0863,0.0769,0.1664,0.1827,0.1175,0.1923,0.2328,0.2468,0.1740,0.1541
144.003,TemporalRegulator,0.2464,1.0000,0.8000,1.0000,0.2000,0.1423,0.2251,0.0864,0.0769,0.1690,0.1815,0.1188,0.1869,0.2314,0.2464,0.1763,0.1590
146.000,TemporalRegulator,0.2462,1.0000,0.8000,1.0000,0.2000,0.1415,0.2246,0.0865,0.0768,0.1702,0.1810,0.1194,0.1845,0.2308,0.2462,0.1773,0.1612
148.003,TemporalRegulator,0.2461,1.0000,0.8000,1.0000,0.2000,0.1411,0.2244,0.0865,0.0768,0.1707,0.1808,0.1197,0.1834,0.2305,0.2461,0.1777,0.1622
150.003,TemporalRegulator,0.2461,1.0000,0.8000,1.0000,0.2000,0.1409,0.2243,0.0865,0.0768,0.1710,0.1807,0.1198,0.1830,0.2303,0.2461,0.1779,0.1627
152.003,TemporalRegulator,0.2460,1.0000,0.8000,1.0000,0.2000,0.1409,0.2242,0.0865,0.0768,0.1711,0.1806,0.1198,0.1828,0.2303,0.2460,0.1780,0.1629
154.003,TemporalRegulator,0.2471,1.0000,0.8000,1.0000,0.2000,0.1468,0.2275,0.0862,0.0769,0.1628,0.1841,0.1157,0.1999,0.2347,0.2471,0.1709,0.1474
156.003,TemporalRegulator,0.2466,1.0000,0.8000,1.0000,0.2000,0.1435,0.2257,0.0864,0.0769,0.1674,0.1822,0.1180,0.1903,0.2322,0.2466,0.1749,0.1560
