timestamp_s,strategy,alloc_num,tasks_in_queues,latency_ms
30.000,ahe_mrta_v3,1,10,1.30
35.000,ahe_mrta_v3,2,10,0.87
40.000,ahe_mrta_v3,3,10,0.28
45.000,ahe_mrta_v3,4,10,0.24
50.000,ahe_mrta_v3,5,10,0.82
55.000,ahe_mrta_v3,6,10,0.61
60.000,ahe_mrta_v3,7,10,0.27
65.000,ahe_mrta_v3,8,10,0.87
70.000,ahe_mrta_v3,9,10,0.67
75.000,ahe_mrta_v3,10,10,0.65
80.000,ahe_mrta_v3,11,8,0.69
85.000,ahe_mrta_v3,12,8,0.66
90.000,ahe_mrta_v3,13,8,0.61
95.000,ahe_mrta_v3,14,8,0.47
100.000,ahe_mrta_v3,15,8,0.56
105.000,ahe_mrta_v3,16,8,0.47
110.000,ahe_mrta_v3,17,8,0.67
115.000,ahe_mrta_v3,18,8,0.49
120.000,ahe_mrta_v3,19,8,0.56
125.000,ahe_mrta_v3,20,8,0.76
130.000,ahe_mrta_v3,21,8,0.59
135.000,ahe_mrta_v3,22,8,0.55
140.000,ahe_mrta_v3,23,8,0.46
145.000,ahe_mrta_v3,24,8,0.86
150.000,ahe_mrta_v3,25,8,0.49
155.000,ahe_mrta_v3,26,8,0.71
160.000,ahe_mrta_v3,27,8,0.46
165.000,ahe_mrta_v3,28,7,0.70
170.000,ahe_mrta_v3,29,8,0.61
175.000,ahe_mrta_v3,30,8,0.70
180.000,ahe_mrta_v3,31,8,0.65
185.000,ahe_mrta_v3,32,8,0.66
190.000,ahe_mrta_v3,33,7,0.81
