timestamp_s,robot_id,x,y,battery_state,nav_state,avail_state,current_task_id,failure_flag
30.000,robot_1,0.000,-0.000,0,0,0,,0
30.000,robot_2,0.000,-0.000,0,0,0,,0
30.000,robot_3,0.000,-0.000,0,0,0,,0
30.000,robot_4,0.000,-0.000,0,0,0,,0
30.000,robot_5,0.000,-0.000,0,0,0,,0
32.000,robot_1,0.329,0.010,0,1,0,task_020,0
32.000,robot_2,0.306,0.055,0,1,0,task_004,0
32.000,robot_3,0.190,-0.038,0,1,0,task_013,0
32.000,robot_4,0.329,0.010,0,1,0,task_021,0
32.000,robot_5,0.329,-0.004,0,1,0,task_008,0
34.000,robot_1,0.836,0.069,0,1,0,task_020,0
34.000,robot_2,0.792,0.244,0,1,0,task_004,0
34.000,robot_3,0.606,-0.319,0,1,0,task_013,0
34.000,robot_4,0.835,0.068,0,1,0,task_021,0
34.000,robot_5,0.850,-0.021,0,1,0,task_008,0
36.000,robot_1,1.333,0.225,0,1,0,task_020,0
36.000,robot_2,1.271,0.449,0,1,0,task_004,0
36.000,robot_3,0.982,-0.680,0,1,0,task_013,0
36.000,robot_4,1.333,0.225,0,1,0,task_021,0
36.000,robot_5,1.371,-0.055,0,1,0,task_008,0
38.000,robot_1,1.838,0.310,0,1,0,task_020,0
38.000,robot_2,1.741,0.655,0,1,0,task_004,0
38.000,robot_3,1.347,-1.040,0,1,0,task_013,0
38.000,robot_4,1.838,0.310,0,1,0,task_021,0
38.000,robot_5,1.877,-0.133,0,1,0,task_008,0
40.000,robot_1,2.357,0.367,0,1,0,task_020,0
40.000,robot_2,2.219,0.863,0,1,0,task_004,0
40.000,robot_3,1.718,-1.407,0,1,0,task_013,0
40.000,robot_4,2.356,0.367,0,1,0,task_021,0
40.000,robot_5,2.376,-0.281,0,1,0,task_008,0
42.001,robot_1,2.863,0.637,0,1,0,task_020,0
42.001,robot_2,2.840,1.068,0,1,0,task_004,0
42.001,robot_3,2.185,-1.865,0,1,0,task_013,0
42.001,robot_4,2.793,0.566,0,1,0,task_021,0
42.001,robot_5,2.885,-0.646,0,1,0,task_008,0
44.000,robot_1,3.012,0.925,0,1,0,task_020,0
44.000,robot_2,3.211,1.186,0,1,0,task_004,0
44.000,robot_3,2.465,-2.135,0,1,0,task_013,0
44.000,robot_4,2.998,0.893,0,1,0,task_021,0
44.000,robot_5,3.027,-0.992,0,1,0,task_008,0
46.000,robot_1,3.022,1.441,0,1,0,task_020,0
46.000,robot_2,3.708,1.343,0,1,0,task_004,0
46.000,robot_3,2.812,-2.523,0,1,0,task_013,0
46.000,robot_4,2.987,1.281,0,1,0,task_021,0
46.000,robot_5,3.071,-1.511,0,1,0,task_008,0
48.000,robot_1,2.894,1.946,0,1,0,task_020,0
48.000,robot_2,4.219,1.438,0,1,0,task_004,0
48.000,robot_3,3.029,-2.996,0,1,0,task_013,0
48.000,robot_4,2.710,1.692,0,1,0,task_021,0
48.000,robot_5,3.064,-2.033,0,1,0,task_008,0
50.000,robot_1,2.737,2.434,0,1,0,task_020,0
50.000,robot_2,4.864,1.477,0,1,0,task_004,0
50.000,robot_3,3.181,-3.623,0,1,0,task_013,0
50.000,robot_4,2.310,2.011,0,1,0,task_021,0
50.000,robot_5,3.054,-2.546,0,1,0,task_008,0
52.000,robot_1,2.563,2.926,0,1,0,task_020,0
52.000,robot_2,5.252,1.503,0,1,0,task_004,0
52.000,robot_3,3.266,-4.002,0,1,0,task_013,0
52.000,robot_4,1.886,2.315,0,1,0,task_021,0
52.000,robot_5,3.050,-3.067,0,1,0,task_008,0
54.000,robot_1,2.382,3.415,0,1,0,task_020,0
54.000,robot_2,5.772,1.534,0,1,0,task_004,0
54.000,robot_3,3.393,-4.508,0,1,0,task_013,0
54.000,robot_4,1.461,2.618,0,1,0,task_021,0
54.000,robot_5,3.049,-3.589,0,1,0,task_008,0
56.000,robot_1,2.174,3.893,0,1,0,task_020,0
56.000,robot_2,6.293,1.566,0,1,0,task_004,0
56.000,robot_3,3.544,-5.007,0,1,0,task_013,0
56.000,robot_4,1.043,2.929,0,1,0,task_021,0
56.000,robot_5,3.050,-4.110,0,1,0,task_008,0
58.000,robot_1,1.953,4.366,0,1,0,task_020,0
58.000,robot_2,6.814,1.587,0,1,0,task_004,0
58.000,robot_3,3.730,-5.494,0,1,0,task_013,0
58.000,robot_4,0.664,3.287,0,1,0,task_021,0
58.000,robot_5,3.050,-4.632,0,1,0,task_008,0
60.000,robot_1,1.723,4.824,0,1,0,task_020,0
60.000,robot_2,7.458,1.627,0,1,0,task_004,0
60.000,robot_3,3.877,-5.793,0,1,0,task_013,0
60.000,robot_4,0.253,3.724,0,1,0,task_021,0
60.000,robot_5,3.050,-5.277,0,1,0,task_008,0
62.000,robot_1,1.472,5.281,0,1,0,task_020,0
62.000,robot_2,7.846,1.648,0,1,0,task_004,0
62.000,robot_3,3.877,-5.793,0,1,0,task_005,0
62.000,robot_4,0.165,3.820,0,1,0,task_021,0
62.000,robot_5,3.050,-5.666,0,1,0,task_008,0
64.000,robot_1,1.219,5.689,0,1,0,task_020,0
64.000,robot_2,8.360,1.736,0,1,0,task_004,0
64.000,robot_3,3.552,-5.925,0,1,0,task_005,0
64.000,robot_4,0.165,3.820,0,1,0,task_022,0
64.000,robot_5,3.050,-6.188,0,1,0,task_008,0
66.000,robot_1,1.137,5.810,0,1,0,,0
66.000,robot_2,8.746,1.870,0,1,0,task_004,0
66.000,robot_3,3.243,-5.980,0,1,0,task_005,0
66.000,robot_4,-0.083,3.962,0,1,0,task_022,0
66.000,robot_5,3.048,-6.709,0,1,0,task_008,0
68.000,robot_1,1.136,5.807,0,1,0,task_007,0
68.000,robot_2,8.804,1.854,0,1,0,task_023,0
68.000,robot_3,3.262,-5.982,0,1,0,task_025,0
68.000,robot_4,-0.598,4.036,0,1,0,task_022,0
68.000,robot_5,2.963,-7.221,0,1,0,task_008,0
70.000,robot_1,0.883,5.442,0,1,0,task_007,0
70.000,robot_2,8.922,1.390,0,1,0,task_023,0
70.000,robot_3,3.783,-6.008,0,1,0,task_025,0
70.000,robot_4,-1.118,4.048,0,1,0,task_022,0
70.000,robot_5,2.650,-7.632,0,1,0,task_008,0
72.000,robot_1,0.487,5.117,0,1,0,task_007,0
72.000,robot_2,8.941,0.878,0,1,0,task_023,0
72.000,robot_3,4.295,-6.007,0,1,0,task_025,0
72.000,robot_4,-1.536,4.246,0,1,0,task_022,0
72.000,robot_5,2.291,-7.867,0,1,0,task_008,0
74.000,robot_1,0.064,4.811,0,1,0,task_007,0
74.000,robot_2,8.955,0.392,0,1,2,task_023,0
74.000,robot_3,4.710,-6.003,0,1,0,,0
74.000,robot_4,-1.834,4.633,0,1,0,task_022,0
74.000,robot_5,2.215,-7.906,0,1,0,,0
76.000,robot_1,-0.356,4.502,0,1,0,task_007,0
76.000,robot_2,8.968,0.240,0,1,2,,0
76.000,robot_3,4.789,-5.924,0,1,0,task_017,0
76.000,robot_4,-1.910,4.778,0,1,0,,0
76.000,robot_5,2.433,-7.867,0,1,0,task_018,0
78.000,robot_1,-0.726,4.221,0,1,0,task_007,0
78.000,robot_2,8.968,0.240,0,0,2,,0
78.000,robot_3,4.815,-5.419,0,1,0,task_017,0
78.000,robot_4,-1.910,4.778,0,1,0,task_006,0
78.000,robot_5,2.826,-7.572,0,1,0,task_018,0
80.000,robot_1,-0.816,4.150,0,1,0,,0
80.000,robot_2,8.968,0.240,0,0,2,,0
80.000,robot_3,4.756,-4.901,0,1,0,task_017,0
80.000,robot_4,-2.210,4.476,0,1,0,task_006,0
80.000,robot_5,3.029,-7.098,0,1,0,task_018,0
82.000,robot_1,-0.504,4.038,0,1,0,task_010,0
82.000,robot_2,8.968,0.240,0,0,2,,0
82.000,robot_3,4.686,-4.384,0,1,0,task_017,0
82.000,robot_4,-2.664,4.219,0,1,0,task_006,0
82.000,robot_5,3.069,-6.578,0,1,0,task_018,0
84.000,robot_1,-0.061,3.782,0,1,0,task_010,0
84.000,robot_2,8.968,0.240,0,0,2,,0
84.000,robot_3,4.602,-3.878,0,1,0,task_017,0
84.000,robot_4,-3.146,4.048,0,1,0,task_006,0
84.000,robot_5,3.063,-6.065,0,1,0,task_018,0
86.000,robot_1,0.382,3.505,0,1,0,task_010,0
86.000,robot_2,8.968,0.240,0,0,2,,0
86.000,robot_3,4.495,-3.368,0,1,0,task_017,0
86.000,robot_4,-3.659,3.955,0,1,0,task_006,0
86.000,robot_5,3.053,-5.544,0,1,0,task_018,0
88.000,robot_1,0.820,3.223,0,1,0,task_010,0
88.000,robot_2,8.968,0.240,0,0,2,,0
88.000,robot_3,4.361,-2.864,0,1,0,task_017,0
