timestamp_s,event_type,robot_id,task_id,strategy,latency_ms
30.000,allocation_run,,,ahe_mrta_v3,1.24
35.000,allocation_run,,,ahe_mrta_v3,0.82
40.000,allocation_run,,,ahe_mrta_v3,0.25
45.000,allocation_run,,,ahe_mrta_v3,0.27
50.000,allocation_run,,,ahe_mrta_v3,0.84
55.000,allocation_run,,,ahe_mrta_v3,0.77
60.000,allocation_run,,,ahe_mrta_v3,0.26
65.000,allocation_run,,,ahe_mrta_v3,0.69
70.000,allocation_run,,,ahe_mrta_v3,0.51
71.000,robot_failure,robot_2,,ahe_mrta_v3,0.00
75.000,allocation_run,,,ahe_mrta_v3,0.59
80.000,allocation_run,,,ahe_mrta_v3,0.47
85.000,allocation_run,,,ahe_mrta_v3,0.73
90.000,allocation_run,,,ahe_mrta_v3,0.58
95.000,allocation_run,,,ahe_mrta_v3,0.67
100.000,allocation_run,,,ahe_mrta_v3,0.56
105.000,allocation_run,,,ahe_mrta_v3,0.47
110.000,allocation_run,,,ahe_mrta_v3,0.70
115.000,allocation_run,,,ahe_mrta_v3,0.79
120.000,allocation_run,,,ahe_mrta_v3,0.92
125.000,allocation_run,,,ahe_mrta_v3,0.72
130.000,allocation_run,,,ahe_mrta_v3,0.70
135.000,allocation_run,,,ahe_mrta_v3,0.72
140.001,allocation_run,,,ahe_mrta_v3,0.63
145.000,allocation_run,,,ahe_mrta_v3,0.82
150.000,allocation_run,,,ahe_mrta_v3,0.71
155.000,allocation_run,,,ahe_mrta_v3,0.95
160.000,allocation_run,,,ahe_mrta_v3,1.41
